Ⴁ	b AL
წვრილმანად	t AH sʼ BF v BE r BA i AJ l AC m AD ɑ AJ n AE ɑ AJ d AH
წვრილმანი	t AH sʼ BF v BE r BA i AJ l AC m AD ɑ AJ n AE i AJ
წვრილმანობა	t AH sʼ BF v BE r BA i AJ l AC m AD ɑ AJ n AE ɔ AK b AL ɑ AJ
წვრილფეხა	t AH sʼ BF v BE r BA i AJ l AC pʰ AF ɛ AJ x BC ɑ AJ
წიაღი	t AH sʼ BF i AJ ɑ AJ ɣ BC i AJ
წიგნაკი	t AH sʼ BF i AJ ɡ BD n AE ɑ AJ kʼ AM i AJ
წიგნი	t AH sʼ BF i AJ ɡ BD n AE i AJ
წიგნიერება	t AH sʼ BF i AJ ɡ BD n AE i AJ ɛ AJ r BA ɛ AJ b AL ɑ AJ
წიგნიერი	t AH sʼ BF i AJ ɡ BD n AE i AJ ɛ AJ r BA i AJ
წიდა	t AH sʼ BF i AJ d AH ɑ AJ
წივწივა	t AH sʼ BF i AJ v BE t AH sʼ BF i AJ v BE ɑ AJ
წითელა	t AH sʼ BF i AJ tʰ AI ɛ AJ l AC ɑ AJ
წითელი	t AH sʼ BF i AJ tʰ AI ɛ AJ l AC i AJ
წითელქუდა	t AH sʼ BF i AJ tʰ AI ɛ AJ l AC kʰ AB u AK d AH ɑ AJ
წითური	t AH sʼ BF i AJ tʰ AI u AK r BA i AJ
წიკწიკი	t AH sʼ BF i AJ kʼ AM t AH sʼ BF i AJ kʼ AM i AJ
წილი	t AH sʼ BF i AJ l AC i AJ
წილკანი	t AH sʼ BF i AJ l AC kʼ AM ɑ AJ n AE i AJ
წინ	t AH sʼ BF i AJ n AE
წინა	t AH sʼ BF i AJ n AE ɑ AJ
წინააღმდეგ	t AH sʼ BF i AJ n AE ɑ AJ ɑ AJ ɣ BC m AD d AH ɛ AJ ɡ BD
წინააღმდეგობა	t AH sʼ BF i AJ n AE ɑ AJ ɑ AJ ɣ BC m AD d AH ɛ AJ ɡ BD ɔ AK b AL ɑ AJ
წინადადება	t AH sʼ BF i AJ n AE ɑ AJ d AH ɑ AJ d AH ɛ AJ b AL ɑ AJ
წინადაცვეთა	t AH sʼ BF i AJ n AE ɑ AJ d AH ɑ AJ t AH s AG v BE ɛ AJ tʰ AI ɑ AJ
წინადღე	t AH sʼ BF i AJ n AE ɑ AJ d AH ɣ BC ɛ AJ
წინათ	t AH sʼ BF i AJ n AE ɑ AJ tʰ AI
წინათგრძნობა	t AH sʼ BF i AJ n AE ɑ AJ tʰ AI ɡ BD r BA d AH z AG n AE ɔ AK b AL ɑ AJ
წინამავალი	t AH sʼ BF i AJ n AE ɑ AJ m AD ɑ AJ v BE ɑ AJ l AC i AJ
წინამორბედი	t AH sʼ BF i AJ n AE ɑ AJ m AD ɔ AK r BA b AL ɛ AJ d AH i AJ
წინამძღვარი	t AH sʼ BF i AJ n AE ɑ AJ m AD d AH z AG ɣ BC v BE ɑ AJ r BA i AJ
წინამძღოლმა	t AH sʼ BF i AJ n AE ɑ AJ m AD d AH z AG ɣ BC ɔ AK l AC m AD ɑ AJ
წინამხარი	t AH sʼ BF i AJ n AE ɑ AJ m AD x BC ɑ AJ r BA i AJ
წინანდელი	t AH sʼ BF i AJ n AE ɑ AJ n AE d AH ɛ AJ l AC i AJ
წინაპარი	t AH sʼ BF i AJ n AE ɑ AJ pʼ AN ɑ AJ r BA i AJ
წინასწარ	t AH sʼ BF i AJ n AE ɑ AJ s AG t AH sʼ BF ɑ AJ r BA
წინასწარგანზრახულად	t AH sʼ BF i AJ n AE ɑ AJ s AG t AH sʼ BF ɑ AJ r BA ɡ BD ɑ AJ n AE z AG r BA ɑ AJ x BC u AK l AC ɑ AJ d AH
წინასწარი	t AH sʼ BF i AJ n AE ɑ AJ s AG t AH sʼ BF ɑ AJ r BA i AJ
წინასწარმეტყველურად	t AH sʼ BF i AJ n AE ɑ AJ s AG t AH sʼ BF ɑ AJ r BA m AD ɛ AJ tʼ BB qʼ AM v BE ɛ AJ l AC u AK r BA ɑ AJ d AH
წინასწარმეყველურად	t AH sʼ BF i AJ n AE ɑ AJ s AG t AH sʼ BF ɑ AJ r BA m AD ɛ AJ qʼ AM v BE ɛ AJ l AC u AK r BA ɑ AJ d AH
წინაფრა	t AH sʼ BF i AJ n AE ɑ AJ pʰ AF r BA ɑ AJ
წინაღობა	t AH sʼ BF i AJ n AE ɑ AJ ɣ BC ɔ AK b AL ɑ AJ
წინდა	t AH sʼ BF i AJ n AE d AH ɑ AJ
წინდაუხედავად	t AH sʼ BF i AJ n AE d AH ɑ AJ u AK x BC ɛ AJ d AH ɑ AJ v BE ɑ AJ d AH
წინდაუხედავი	t AH sʼ BF i AJ n AE d AH ɑ AJ u AK x BC ɛ AJ d AH ɑ AJ v BE i AJ
წინდახედულად	t AH sʼ BF i AJ n AE d AH ɑ AJ x BC ɛ AJ d AH u AK l AC ɑ AJ d AH
წინდახედული	t AH sʼ BF i AJ n AE d AH ɑ AJ x BC ɛ AJ d AH u AK l AC i AJ
წინდებული	t AH sʼ BF i AJ n AE d AH ɛ AJ b AL u AK l AC i AJ
წინდებულიანი	t AH sʼ BF i AJ n AE d AH ɛ AJ b AL u AK l AC i AJ ɑ AJ n AE i AJ
წინდიანი	t AH sʼ BF i AJ n AE d AH i AJ ɑ AJ n AE i AJ
წინკარი	t AH sʼ BF i AJ n AE kʼ AM ɑ AJ r BA i AJ
წინსაფარი	t AH sʼ BF i AJ n AE s AG ɑ AJ pʰ AF ɑ AJ r BA i AJ
წინსვლა	t AH sʼ BF i AJ n AE s AG v BE l AC ɑ AJ
წინსწრება	t AH sʼ BF i AJ n AE s AG t AH sʼ BF r BA ɛ AJ b AL ɑ AJ
წინწამოწეული	t AH sʼ BF i AJ n AE t AH sʼ BF ɑ AJ m AD ɔ AK t AH sʼ BF ɛ AJ u AK l AC i AJ
წინწკალი	t AH sʼ BF i AJ n AE t AH sʼ BF kʼ AM ɑ AJ l AC i AJ
წინწკლებიანი	t AH sʼ BF i AJ n AE t AH sʼ BF kʼ AM l AC ɛ AJ b AL i AJ ɑ AJ n AE i AJ
წინწკლი	t AH sʼ BF i AJ n AE t AH sʼ BF kʼ AM l AC i AJ
წიპწა	t AH sʼ BF i AJ pʼ AN t AH sʼ BF ɑ AJ
წირთხლი	t AH sʼ BF i AJ r BA tʰ AI x BC l AC i AJ
წისქვილი	t AH sʼ BF i AJ s AG kʰ AB v BE i AJ l AC i AJ
წიფელა	t AH sʼ BF i AJ pʰ AF ɛ AJ l AC ɑ AJ
წიფელი	t AH sʼ BF i AJ pʰ AF ɛ AJ l AC i AJ
წიწაკა	t AH sʼ BF i AJ t AH sʼ BF ɑ AJ kʼ AM ɑ AJ
წიწიბურა	t AH sʼ BF i AJ t AH sʼ BF i AJ b AL u AK r BA ɑ AJ
წიწილა	t AH sʼ BF i AJ t AH sʼ BF i AJ l AC ɑ AJ
წიწილი	t AH sʼ BF i AJ t AH sʼ BF i AJ l AC i AJ
წიწმატი	t AH sʼ BF i AJ t AH sʼ BF m AD ɑ AJ tʼ BB i AJ
წკიპურტი	t AH sʼ BF kʼ AM i AJ pʼ AN u AK r BA tʼ BB i AJ
წლიანი	t AH sʼ BF l AC i AJ ɑ AJ n AE i AJ
წლისთავი	t AH sʼ BF l AC i AJ s AG tʰ AI ɑ AJ v BE i AJ
წმენდს	t AH sʼ BF m AD ɛ AJ n AE d AH s AG
წმიდა	t AH sʼ BF m AD i AJ d AH ɑ AJ
წმინდა	t AH sʼ BF m AD i AJ n AE d AH ɑ AJ
წმინდად	t AH sʼ BF m AD i AJ n AE d AH ɑ AJ d AH
წნავს	t AH sʼ BF n AE ɑ AJ v BE s AG
წნევა	t AH sʼ BF n AE ɛ AJ v BE ɑ AJ
წნელი	t AH sʼ BF n AE ɛ AJ l AC i AJ
წოდებითი	t AH sʼ BF ɔ AK d AH ɛ AJ b AL i AJ tʰ AI i AJ
წოდორეთი	t AH sʼ BF ɔ AK d AH ɔ AK r BA ɛ AJ tʰ AI i AJ
წოვა	t AH sʼ BF ɔ AK v BE ɑ AJ
წოლა	t AH sʼ BF ɔ AK l AC ɑ AJ
წონა	t AH sʼ BF ɔ AK n AE ɑ AJ
წონასწორობა	t AH sʼ BF ɔ AK n AE ɑ AJ s AG t AH sʼ BF ɔ AK r BA ɔ AK b AL ɑ AJ
წრე	t AH sʼ BF r BA ɛ AJ
წრეწირი	t AH sʼ BF r BA ɛ AJ t AH sʼ BF i AJ r BA i AJ
წრიპინა	t AH sʼ BF r BA i AJ pʼ AN i AJ n AE ɑ AJ
წრფელად	t AH sʼ BF r BA pʰ AF ɛ AJ l AC ɑ AJ d AH
წრფელი	t AH sʼ BF r BA pʰ AF ɛ AJ l AC i AJ
წუთი	t AH sʼ BF u AK tʰ AI i AJ
წუთისოფელი	t AH sʼ BF u AK tʰ AI i AJ s AG ɔ AK pʰ AF ɛ AJ l AC i AJ
წული	t AH sʼ BF u AK l AC i AJ
წუნდაუდებელი	t AH sʼ BF u AK n AE d AH ɑ AJ u AK d AH ɛ AJ b AL ɛ AJ l AC i AJ
წუნი	t AH sʼ BF u AK n AE i AJ
წუნია	t AH sʼ BF u AK n AE i AJ ɑ AJ
წურავს	t AH sʼ BF u AK r BA ɑ AJ v BE s AG
წურბელა	t AH sʼ BF u AK r BA b AL ɛ AJ l AC ɑ AJ
წუწუნი	t AH sʼ BF u AK t AH sʼ BF u AK n AE i AJ
წუწურაქი	t AH sʼ BF u AK t AH sʼ BF u AK r BA ɑ AJ kʰ AB i AJ
წუწურაქობა	t AH sʼ BF u AK t AH sʼ BF u AK r BA ɑ AJ kʰ AB ɔ AK b AL ɑ AJ
წუხელ	t AH sʼ BF u AK x BC ɛ AJ l AC
წუხელის	t AH sʼ BF u AK x BC ɛ AJ l AC i AJ s AG
წუხილი	t AH sʼ BF u AK x BC i AJ l AC i AJ
წყავი	t AH sʼ BF qʼ AM ɑ AJ v BE i AJ
წყალბადი	t AH sʼ BF qʼ AM ɑ AJ l AC b AL ɑ AJ d AH i AJ
წყალგაუმტარი	t AH sʼ BF qʼ AM ɑ AJ l AC ɡ BD ɑ AJ u AK m AD tʼ BB ɑ AJ r BA i AJ
წყალდიდობა	t AH sʼ BF qʼ AM ɑ AJ l AC d AH i AJ d AH ɔ AK b AL ɑ AJ
წყალი	t AH sʼ BF qʼ AM ɑ AJ l AC i AJ
წყალიკრეფია	t AH sʼ BF qʼ AM ɑ AJ l AC i AJ kʼ AM r BA ɛ AJ pʰ AF i AJ ɑ AJ
წყალმა	t AH sʼ BF qʼ AM ɑ AJ l AC m AD ɑ AJ
წყალმანკი	t AH sʼ BF qʼ AM ɑ AJ l AC m AD ɑ AJ n AE kʼ AM i AJ
წყალმანკიანი	t AH sʼ BF qʼ AM ɑ AJ l AC m AD ɑ AJ n AE kʼ AM i AJ ɑ AJ n AE i AJ
წყალმცენარე	t AH sʼ BF qʼ AM ɑ AJ l AC m AD t AH s AG ɛ AJ n AE ɑ AJ r BA ɛ AJ
წყალს	t AH sʼ BF qʼ AM ɑ AJ l AC s AG
წყალსადენი	t AH sʼ BF qʼ AM ɑ AJ l AC s AG ɑ AJ d AH ɛ AJ n AE i AJ
წყალქვეშა	t AH sʼ BF qʼ AM ɑ AJ l AC kʰ AB v BE ɛ AJ ʃ AG ɑ AJ
წყალხაზი	t AH sʼ BF qʼ AM ɑ AJ l AC x BC ɑ AJ z AG i AJ
წყალხმელეთა	t AH sʼ BF qʼ AM ɑ AJ l AC x BC m AD ɛ AJ l AC ɛ AJ tʰ AI ɑ AJ
წყარო	t AH sʼ BF qʼ AM ɑ AJ r BA ɔ AK
წყაროდ	t AH sʼ BF qʼ AM ɑ AJ r BA ɔ AK d AH
წყაროთი	t AH sʼ BF qʼ AM ɑ AJ r BA ɔ AK tʰ AI i AJ
წყარომ	t AH sʼ BF qʼ AM ɑ AJ r BA ɔ AK m AD
წყაროს	t AH sʼ BF qʼ AM ɑ AJ r BA ɔ AK s AG
წყევლა	t AH sʼ BF qʼ AM ɛ AJ v BE l AC ɑ AJ
წყევლის	t AH sʼ BF qʼ AM ɛ AJ v BE l AC i AJ s AG
წყენა	t AH sʼ BF qʼ AM ɛ AJ n AE ɑ AJ
წყენია	t AH sʼ BF qʼ AM ɛ AJ n AE i AJ ɑ AJ
წყენით	t AH sʼ BF qʼ AM ɛ AJ n AE i AJ tʰ AI
წყეულად	t AH sʼ BF qʼ AM ɛ AJ u AK l AC ɑ AJ d AH
წყეული	t AH sʼ BF qʼ AM ɛ AJ u AK l AC i AJ
წყვდიადი	t AH sʼ BF qʼ AM v BE d AH i AJ ɑ AJ d AH i AJ
წყვეტილი	t AH sʼ BF qʼ AM v BE ɛ AJ tʼ BB i AJ l AC i AJ
წყვილი	t AH sʼ BF qʼ AM v BE i AJ l AC i AJ
წყლად	t AH sʼ BF qʼ AM l AC ɑ AJ d AH
წყლიანი	t AH sʼ BF qʼ AM l AC i AJ ɑ AJ n AE i AJ
წყლით	t AH sʼ BF qʼ AM l AC i AJ tʰ AI
წყლის	t AH sʼ BF qʼ AM l AC i AJ s AG
წყლტუ	t AH sʼ BF qʼ AM l AC tʼ BB u AK
წყლულები	t AH sʼ BF qʼ AM l AC u AK l AC ɛ AJ b AL i AJ
წყლული	t AH sʼ BF qʼ AM l AC u AK l AC i AJ
წყლულიანი	t AH sʼ BF qʼ AM l AC u AK l AC i AJ ɑ AJ n AE i AJ
წყნარად	t AH sʼ BF qʼ AM n AE ɑ AJ r BA ɑ AJ d AH
წყნარი	t AH sʼ BF qʼ AM n AE ɑ AJ r BA i AJ
წყობა	t AH sʼ BF qʼ AM ɔ AK b AL ɑ AJ
წყურვილი	t AH sʼ BF qʼ AM u AK r BA v BE i AJ l AC i AJ
წყურვილით	t AH sʼ BF qʼ AM u AK r BA v BE i AJ l AC i AJ tʰ AI
ჭა	t AH ʃʼ BF ɑ AJ
ჭაბუკი	t AH ʃʼ BF ɑ AJ b AL u AK kʼ AM i AJ
ჭაბუკურად	t AH ʃʼ BF ɑ AJ b AL u AK kʼ AM u AK r BA ɑ AJ d AH
ჭაბუკური	t AH ʃʼ BF ɑ AJ b AL u AK kʼ AM u AK r BA i AJ
ჭაბურღილი	t AH ʃʼ BF ɑ AJ b AL u AK r BA ɣ BC i AJ l AC i AJ
ჭადარი	t AH ʃʼ BF ɑ AJ d AH ɑ AJ r BA i AJ
ჭადრაკი	t AH ʃʼ BF ɑ AJ d AH r BA ɑ AJ kʼ AM i AJ
ჭადრაკის	t AH ʃʼ BF ɑ AJ d AH r BA ɑ AJ kʼ AM i AJ s AG
ჭავლი	t AH ʃʼ BF ɑ AJ v BE l AC i AJ
ჭავჭავაძე	t AH ʃʼ BF ɑ AJ v BE t AH ʃʼ BF ɑ AJ v BE ɑ AJ d AH z AG ɛ AJ
ჭალა	t AH ʃʼ BF ɑ AJ l AC ɑ AJ
ჭალაკი	t AH ʃʼ BF ɑ AJ l AC ɑ AJ kʼ AM i AJ
ჭალი	t AH ʃʼ BF ɑ AJ l AC i AJ
ჭამა	t AH ʃʼ BF ɑ AJ m AD ɑ AJ
ჭამს	t AH ʃʼ BF ɑ AJ m AD s AG
ჭანარი	t AH ʃʼ BF ɑ AJ n AE ɑ AJ r BA i AJ
ჭანგი	t AH ʃʼ BF ɑ AJ n AE ɡ BD i AJ
ჭანჭიკი	t AH ʃʼ BF ɑ AJ n AE t AH ʃʼ BF i AJ kʼ AM i AJ
ჭანჭური	t AH ʃʼ BF ɑ AJ n AE t AH ʃʼ BF u AK r BA i AJ
ჭაობი	t AH ʃʼ BF ɑ AJ ɔ AK b AL i AJ
ჭაობიანი	t AH ʃʼ BF ɑ AJ ɔ AK b AL i AJ ɑ AJ n AE i AJ
ჭარბად	t AH ʃʼ BF ɑ AJ r BA b AL ɑ AJ d AH
ჭარბი	t AH ʃʼ BF ɑ AJ r BA b AL i AJ
ჭარბწარმოება	t AH ʃʼ BF ɑ AJ r BA b AL t AH sʼ BF ɑ AJ r BA m AD ɔ AK ɛ AJ b AL ɑ AJ
ჭარტალა	t AH ʃʼ BF ɑ AJ r BA tʼ BB ɑ AJ l AC ɑ AJ
ჭარტალი	t AH ʃʼ BF ɑ AJ r BA tʼ BB ɑ AJ l AC i AJ
ჭარტარი	t AH ʃʼ BF ɑ AJ r BA tʼ BB ɑ AJ r BA i AJ
ჭარხალი	t AH ʃʼ BF ɑ AJ r BA x BC ɑ AJ l AC i AJ
ჭაღარა	t AH ʃʼ BF ɑ AJ ɣ BC ɑ AJ r BA ɑ AJ
ჭაღი	t AH ʃʼ BF ɑ AJ ɣ BC i AJ
ჭაშნიკი	t AH ʃʼ BF ɑ AJ ʃ AG n AE i AJ kʼ AM i AJ
ჭაჭა	t AH ʃʼ BF ɑ AJ t AH ʃʼ BF ɑ AJ
ჭდე	t AH ʃʼ BF d AH ɛ AJ
ჭედადი	t AH ʃʼ BF ɛ AJ d AH ɑ AJ d AH i AJ
ჭედადობა	t AH ʃʼ BF ɛ AJ d AH ɑ AJ d AH ɔ AK b AL ɑ AJ
ჭედავს	t AH ʃʼ BF ɛ AJ d AH ɑ AJ v BE s AG
ჭედვა	t AH ʃʼ BF ɛ AJ d AH v BE ɑ AJ
ჭერა	t AH ʃʼ BF ɛ AJ r BA ɑ AJ
ჭერამი	t AH ʃʼ BF ɛ AJ r BA ɑ AJ m AD i AJ
ჭერი	t AH ʃʼ BF ɛ AJ r BA i AJ
ჭექა	t AH ʃʼ BF ɛ AJ kʰ AB ɑ AJ
ჭექს	t AH ʃʼ BF ɛ AJ kʰ AB s AG
ჭეშმარიტად	t AH ʃʼ BF ɛ AJ ʃ AG m AD ɑ AJ r BA i AJ tʼ BB ɑ AJ d AH
ჭეშმარიტება	t AH ʃʼ BF ɛ AJ ʃ AG m AD ɑ AJ r BA i AJ tʼ BB ɛ AJ b AL ɑ AJ
ჭეშმარიტი	t AH ʃʼ BF ɛ AJ ʃ AG m AD ɑ AJ r BA i AJ tʼ BB i AJ
ჭვავი	t AH ʃʼ BF v BE ɑ AJ v BE i AJ
ჭვალი	t AH ʃʼ BF v BE ɑ AJ l AC i AJ
ჭვარტალი	t AH ʃʼ BF v BE ɑ AJ r BA tʼ BB ɑ AJ l AC i AJ
ჭვარტლი	t AH ʃʼ BF v BE ɑ AJ r BA tʼ BB l AC i AJ
ჭვინტი	t AH ʃʼ BF v BE i AJ n AE tʼ BB i AJ
ჭვირი	t AH ʃʼ BF v BE i AJ r BA i AJ
ჭვირნარი	t AH ʃʼ BF v BE i AJ r BA n AE ɑ AJ r BA i AJ
ჭვიშტარი	t AH ʃʼ BF v BE i AJ ʃ AG tʼ BB ɑ AJ r BA i AJ
ჭვრეტითი	t AH ʃʼ BF v BE r BA ɛ AJ tʼ BB i AJ tʰ AI i AJ
ჭი	t AH ʃʼ BF i AJ
ჭია	t AH ʃʼ BF i AJ ɑ AJ
ჭიამაია	t AH ʃʼ BF i AJ ɑ AJ m AD ɑ AJ i AJ ɑ AJ
ჭიანაჭამი	t AH ʃʼ BF i AJ ɑ AJ n AE ɑ AJ t AH ʃʼ BF ɑ AJ m AD i AJ
ჭიანჭველა	t AH ʃʼ BF i AJ ɑ AJ n AE t AH ʃʼ BF v BE ɛ AJ l AC ɑ AJ
ჭიანჭველად	t AH ʃʼ BF i AJ ɑ AJ n AE t AH ʃʼ BF v BE ɛ AJ l AC ɑ AJ d AH
ჭიანჭველამ	t AH ʃʼ BF i AJ ɑ AJ n AE t AH ʃʼ BF v BE ɛ AJ l AC ɑ AJ m AD
ჭიანჭველას	t AH ʃʼ BF i AJ ɑ AJ n AE t AH ʃʼ BF v BE ɛ AJ l AC ɑ AJ s AG
ჭიაყელა	t AH ʃʼ BF i AJ ɑ AJ qʼ AM ɛ AJ l AC ɑ AJ
ჭიდაობა	t AH ʃʼ BF i AJ d AH ɑ AJ ɔ AK b AL ɑ AJ
ჭიდილი	t AH ʃʼ BF i AJ d AH i AJ l AC i AJ
ჭივჭავი	t AH ʃʼ BF i AJ v BE t AH ʃʼ BF ɑ AJ v BE i AJ
ჭიკაანი	t AH ʃʼ BF i AJ kʼ AM ɑ AJ ɑ AJ n AE i AJ
ჭიკარტი	t AH ʃʼ BF i AJ kʼ AM ɑ AJ r BA tʼ BB i AJ
ჭილიბი	t AH ʃʼ BF i AJ l AC i AJ b AL i AJ
ჭილობი	t AH ʃʼ BF i AJ l AC ɔ AK b AL i AJ
ჭილოფი	t AH ʃʼ BF i AJ l AC ɔ AK pʰ AF i AJ
ჭილყვავი	t AH ʃʼ BF i AJ l AC qʼ AM v BE ɑ AJ v BE i AJ
ჭიმავს	t AH ʃʼ BF i AJ m AD ɑ AJ v BE s AG
ჭინკა	t AH ʃʼ BF i AJ n AE kʼ AM ɑ AJ
ჭინჭილა	t AH ʃʼ BF i AJ n AE t AH ʃʼ BF i AJ l AC ɑ AJ
ჭინჭრაქა	t AH ʃʼ BF i AJ n AE t AH ʃʼ BF r BA ɑ AJ kʰ AB ɑ AJ
ჭიპი	t AH ʃʼ BF i AJ pʼ AN i AJ
ჭირვეულად	t AH ʃʼ BF i AJ r BA v BE ɛ AJ u AK l AC ɑ AJ d AH
ჭირვეული	t AH ʃʼ BF i AJ r BA v BE ɛ AJ u AK l AC i AJ
ჭირი	t AH ʃʼ BF i AJ r BA i AJ
ჭირისუფალი	t AH ʃʼ BF i AJ r BA i AJ s AG u AK pʰ AF ɑ AJ l AC i AJ
ჭიქა	t AH ʃʼ BF i AJ kʰ AB ɑ AJ
ჭიქური	t AH ʃʼ BF i AJ kʰ AB u AK r BA i AJ
ჭიშკარი	t AH ʃʼ BF i AJ ʃ AG kʼ AM ɑ AJ r BA i AJ
ჭიხვინი	t AH ʃʼ BF i AJ x BC v BE i AJ n AE i AJ
ჭკა	t AH ʃʼ BF kʼ AM ɑ AJ
ჭკვიანად	t AH ʃʼ BF kʼ AM v BE i AJ ɑ AJ n AE ɑ AJ d AH
ჭკვიანი	t AH ʃʼ BF kʼ AM v BE i AJ ɑ AJ n AE i AJ
ჭკუა	t AH ʃʼ BF kʼ AM u AK ɑ AJ
ჭლექი	t AH ʃʼ BF l AC ɛ AJ kʰ AB i AJ
ჭლექიანი	t AH ʃʼ BF l AC ɛ AJ kʰ AB i AJ ɑ AJ n AE i AJ
ჭო	t AH ʃʼ BF ɔ AK
ჭოგრი	t AH ʃʼ BF ɔ AK ɡ BD r BA i AJ
ჭოკი	t AH ʃʼ BF ɔ AK kʼ AM i AJ
ჭონი	t AH ʃʼ BF ɔ AK n AE i AJ
ჭორაობა	t AH ʃʼ BF ɔ AK r BA ɑ AJ ɔ AK b AL ɑ AJ
ჭორი	t AH ʃʼ BF ɔ AK r BA i AJ
ჭრა	t AH ʃʼ BF r BA ɑ AJ
ჭრელი	t AH ʃʼ BF r BA ɛ AJ l AC i AJ
ჭრიალა	t AH ʃʼ BF r BA i AJ ɑ AJ l AC ɑ AJ
ჭრიალი	t AH ʃʼ BF r BA i AJ ɑ AJ l AC i AJ
ჭრიალით	t AH ʃʼ BF r BA i AJ ɑ AJ l AC i AJ tʰ AI
ჭრილი	t AH ʃʼ BF r BA i AJ l AC i AJ
ჭრილობა	t AH ʃʼ BF r BA i AJ l AC ɔ AK b AL ɑ AJ
ჭრიჭინა	t AH ʃʼ BF r BA i AJ t AH ʃʼ BF i AJ n AE ɑ AJ
ჭუნირი	t AH ʃʼ BF u AK n AE i AJ r BA i AJ
ჭუპრი	t AH ʃʼ BF u AK pʼ AN r BA i AJ
ჭურვი	t AH ʃʼ BF u AK r BA v BE i AJ
ჭურჭელი	t AH ʃʼ BF u AK r BA t AH ʃʼ BF ɛ AJ l AC i AJ
ჭუჭრუტანა	t AH ʃʼ BF u AK t AH ʃʼ BF r BA u AK tʼ BB ɑ AJ n AE ɑ AJ
ჭუჭუ	t AH ʃʼ BF u AK t AH ʃʼ BF u AK
ჭუჭული	t AH ʃʼ BF u AK t AH ʃʼ BF u AK l AC i AJ
ჭუჭყი	t AH ʃʼ BF u AK t AH ʃʼ BF qʼ AM i AJ
ჭუჭყიანად	t AH ʃʼ BF u AK t AH ʃʼ BF qʼ AM i AJ ɑ AJ n AE ɑ AJ d AH
ჭუჭყიანი	t AH ʃʼ BF u AK t AH ʃʼ BF qʼ AM i AJ ɑ AJ n AE i AJ
ჭყაპი	t AH ʃʼ BF qʼ AM ɑ AJ pʼ AN i AJ
ჭყეტელა	t AH ʃʼ BF qʼ AM ɛ AJ tʼ BB ɛ AJ l AC ɑ AJ
ჭყეტელად	t AH ʃʼ BF qʼ AM ɛ AJ tʼ BB ɛ AJ l AC ɑ AJ d AH
ჭყვლეპავ	t AH ʃʼ BF qʼ AM v BE l AC ɛ AJ pʼ AN ɑ AJ v BE
ჭყვლეპავს	t AH ʃʼ BF qʼ AM v BE l AC ɛ AJ pʼ AN ɑ AJ v BE s AG
ხაბაზი	x BC ɑ AJ b AL ɑ AJ z AG i AJ
ხაბარი	x BC ɑ AJ b AL ɑ AJ r BA i AJ
ხავერდი	x BC ɑ AJ v BE ɛ AJ r BA d AH i AJ
ხავერდოვანი	x BC ɑ AJ v BE ɛ AJ r BA d AH ɔ AK v BE ɑ AJ n AE i AJ
ხავსი	x BC ɑ AJ v BE s AG i AJ
ხავსიანი	x BC ɑ AJ v BE s AG i AJ ɑ AJ n AE i AJ
ხაზავს	x BC ɑ AJ z AG ɑ AJ v BE s AG
ხაზგასმით	x BC ɑ AJ z AG ɡ BD ɑ AJ s AG m AD i AJ tʰ AI
ხაზვა	x BC ɑ AJ z AG v BE ɑ AJ
ხაზი	x BC ɑ AJ z AG i AJ
ხაზინა	x BC ɑ AJ z AG i AJ n AE ɑ AJ
ხაზინადარი	x BC ɑ AJ z AG i AJ n AE ɑ AJ d AH ɑ AJ r BA i AJ
ხაზოვანი	x BC ɑ AJ z AG ɔ AK v BE ɑ AJ n AE i AJ
ხაზოვნად	x BC ɑ AJ z AG ɔ AK v BE n AE ɑ AJ d AH
ხათა	x BC ɑ AJ tʰ AI ɑ AJ
ხათაბალა	x BC ɑ AJ tʰ AI ɑ AJ b AL ɑ AJ l AC ɑ AJ
ხათრიძე	x BC ɑ AJ tʰ AI r BA i AJ d AH z AG ɛ AJ
ხაკერი	x BC ɑ AJ kʼ AM ɛ AJ r BA i AJ
ხაკი	x BC ɑ AJ kʼ AM i AJ
ხალავს	x BC ɑ AJ l AC ɑ AJ v BE s AG
ხალათი	x BC ɑ AJ l AC ɑ AJ tʰ AI i AJ
ხალასი	x BC ɑ AJ l AC ɑ AJ s AG i AJ
ხალებიანი	x BC ɑ AJ l AC ɛ AJ b AL i AJ ɑ AJ n AE i AJ
ხალვათი	x BC ɑ AJ l AC v BE ɑ AJ tʰ AI i AJ
ხალი	x BC ɑ AJ l AC i AJ
ხალისით	x BC ɑ AJ l AC i AJ s AG i AJ tʰ AI
ხალიფა	x BC ɑ AJ l AC i AJ pʰ AF ɑ AJ
ხალიჩა	x BC ɑ AJ l AC i AJ t AH ʃ AG ɑ AJ
ხალხად	x BC ɑ AJ l AC x BC ɑ AJ d AH
ხალხი	x BC ɑ AJ l AC x BC i AJ
ხალხით	x BC ɑ AJ l AC x BC i AJ tʰ AI
ხალხის	x BC ɑ AJ l AC x BC i AJ s AG
ხალხმა	x BC ɑ AJ l AC x BC m AD ɑ AJ
ხალხს	x BC ɑ AJ l AC x BC s AG
ხამლი	x BC ɑ AJ m AD l AC i AJ
ხან	x BC ɑ AJ n AE
ხანა	x BC ɑ AJ n AE ɑ AJ
ხანგრძლივი	x BC ɑ AJ n AE ɡ BD r BA d AH z AG l AC i AJ v BE i AJ
