あ	a̠ AJ
みこ	mʲ BG i AJ k AC o̞ AM
みこと	mʲ BG i AJ k AC o̞ AM t AH o̞ AM
みこともち	mʲ BG i AJ k AC o̞ AM t AH o̞ AM m AD o̞ AM t AH ɕ BC i AJ
みこむ	mʲ BG i AJ k AC o̞ AM m AD ɯ̟ᵝ
みごと	mʲ BG i AJ ɡ AC o̞ AM t AH o̞ AM
みごもる	mʲ BG i AJ ɡ AC o̞ AM m AD o̞ AM ɾ BB ɯ̟ᵝ
みごろし	mʲ BG i AJ ɡ AC o̞ AM ɾ BB o̞ AM ɕ BC i AJ
みさかい	mʲ BG i AJ s AG a̠ AJ k AC a̠ AJ i AJ
みさこ	mʲ BG i AJ s AG a̠ AJ k AC o̞ AM
みさご	mʲ BG i AJ s AG a̠ AJ ɡ AC o̞ AM
みささぎ	mʲ BG i AJ s AG a̠ AJ s AG a̠ AJ ɡʲ AC i AJ
みして	mʲ BG i AJ ɕ BC i AJ t AH e̞ AJ
みしょう	mʲ BG i AJ ɕ BC o̞ː AL
みしょうぶん	mʲ BG i AJ ɕ BC o̞ː AL b AF ɯ̟̃ᵝ ɴ AI
みしよう	mʲ BG i AJ ɕ BC i AJ j AB o̞ː AL
みしようひん	mʲ BG i AJ ɕ BC i AJ j AB o̞ː AL ç ĩ ɴ AI
みしり	mʲ BG i AJ ɕ BC i AJ ɾʲ BI i AJ
みしん	mʲ BG i AJ ɕ BC ĩ ɴ AI
みしんじゃ	mʲ BG i AJ ɕ BC ĩ ɲ̟ BF d AH ʑ BC a̠ AJ
みじかい	mʲ BG i AJ ʑ BC i AJ k AC a̠ AJ i AJ
みじめ	mʲ BG i AJ ʑ BC i AJ m AD e̞ AJ
みじゅく	mʲ BG i AJ ʑ BC ɨᵝ k AC ɯ̟ᵝ
みじゅくもの	mʲ BG i AJ ʑ BC ɨᵝ k AC ɯ̟ᵝ m AD o̞ AM n AE o̞ AM
みじんぎり	mʲ BG i AJ ʑ BC ĩ ŋʲ AI ɡʲ AC i AJ ɾʲ BI i AJ
みじんこ	mʲ BG i AJ ʑ BC ĩ ŋ AI k AC o̞ AM
みすえる	mʲ BG i AJ s AG ɨᵝ e̞ AJ ɾ BB ɯ̟ᵝ
みすてる	mʲ BG i AJ s AG ɨᵝ t AH e̞ AJ ɾ BB ɯ̟ᵝ
みすぼらしい	mʲ BG i AJ s AG ɨᵝ b AF o̞ AM ɾ BB a̠ AJ ɕ BC i AJ i AJ
みず	mʲ BG i AJ z AG ɨᵝ
みずいらず	mʲ BG i AJ z AG ɨᵝ i AJ ɾ BB a̠ AJ z AG ɨᵝ
みずいれ	mʲ BG i AJ z AG ɨᵝ i AJ ɾ BB e̞ AJ
みずうち	mʲ BG i AJ z AG ɨᵝ ɯ̟ᵝ t AH ɕ BC i AJ
みずうみ	mʲ BG i AJ z AG ɨᵝ ɯ̟ᵝ mʲ BG i AJ
みずかげ	mʲ BG i AJ z AG ɨᵝ k AC a̠ AJ ɡ AC e̞ AJ
みずから	mʲ BG i AJ z AG ɨᵝ k AC a̠ AJ ɾ BB a̠ AJ
みずがめざ	mʲ BG i AJ z AG ɨᵝ ɡ AC a̠ AJ m AD e̞ AJ z AG a̠ AJ
みずきり	mʲ BG i AJ z AG ɨᵝ kʲ AC i AJ ɾʲ BI i AJ
みずぎ	mʲ BG i AJ z AG ɨᵝ ɡʲ AC i AJ
みずぎわだつ	mʲ BG i AJ z AG ɨᵝ ɡʲ AC i AJ ɰᵝ a̠ AJ d AH a̠ AJ t AH s AG ɨᵝ
みずぐも	mʲ BG i AJ z AG ɨᵝ ɡ AC ɯ̟ᵝ m AD o̞ AM
みずこ	mʲ BG i AJ z AG ɨᵝ k AC o̞ AM
みずさし	mʲ BG i AJ z AG ɨᵝ s AG a̠ AJ ɕ BC i AJ
みずさわ	mʲ BG i AJ z AG ɨᵝ s AG a̠ AJ ɰᵝ a̠ AJ
みずすまし	mʲ BG i AJ z AG ɨᵝ s AG ɨᵝ m AD a̠ AJ ɕ BC i AJ
みずそこ	mʲ BG i AJ z AG ɨᵝ s AG o̞ AM k AC o̞ AM
みずたま	mʲ BG i AJ z AG ɨᵝ t AH a̠ AJ m AD a̠ AJ
みずたまり	mʲ BG i AJ z AG ɨᵝ t AH a̠ AJ m AD a̠ AJ ɾʲ BI i AJ
みずでっぽう	mʲ BG i AJ z AG ɨᵝ d AH e̞ AJ p̚ p AF o̞ː AL
みずのあわ	mʲ BG i AJ z AG ɨᵝ n AE o̞ AM a̠ AJ ɰᵝ a̠ AJ
みずべ	mʲ BG i AJ z AG ɨᵝ b AF e̞ AJ
みせ	mʲ BG i AJ s AG e̞ AJ
みせかける	mʲ BG i AJ s AG e̞ AJ k AC a̠ AJ k AC e̞ AJ ɾ BB ɯ̟ᵝ
みせば	mʲ BG i AJ s AG e̞ AJ b AF a̠ AJ
みせびらかす	mʲ BG i AJ s AG e̞ AJ bʲ BH i AJ ɾ BB a̠ AJ k AC a̠ AJ s AG ɨᵝ
みせる	mʲ BG i AJ s AG e̞ AJ ɾ BB ɯ̟ᵝ
みぜんけい	mʲ BG i AJ z AG ẽ̞ ŋ AI k AC e̞ː AK
みそ	mʲ BG i AJ s AG o̞ AM
みそぎ	mʲ BG i AJ s AG o̞ AM ɡʲ AC i AJ
みそしる	mʲ BG i AJ s AG o̞ AM ɕ BC i AJ ɾ BB ɯ̟ᵝ
みそち	mʲ BG i AJ s AG o̞ AM t AH ɕ BC i AJ
みそっかす	mʲ BG i AJ s AG o̞ AM k̚ k AC a̠ AJ s AG ɨᵝ
みぞうう	mʲ BG i AJ z AG o̞ː AL ɯ̟ᵝ
みぞれ	mʲ BG i AJ z AG o̞ AM ɾ BB e̞ AJ
みたい	mʲ BG i AJ t AH a̠ AJ i AJ
みたいけん	mʲ BG i AJ t AH a̠ AJ i AJ k AC ẽ̞ ɴ AI
みたす	mʲ BG i AJ t AH a̠ AJ s AG ɨᵝ
みたま	mʲ BG i AJ t AH a̠ AJ m AD a̠ AJ
みだし	mʲ BG i AJ d AH a̠ AJ ɕ BC i AJ
みだしご	mʲ BG i AJ d AH a̠ AJ ɕ BC i AJ ɡ AC o̞ AM
みだす	mʲ BG i AJ d AH a̠ AJ s AG ɨᵝ
みだれば	mʲ BG i AJ d AH a̠ AJ ɾ BB e̞ AJ b AF a̠ AJ
みだれる	mʲ BG i AJ d AH a̠ AJ ɾ BB e̞ AJ ɾ BB ɯ̟ᵝ
みち	mʲ BG i AJ t AH ɕ BC i AJ
みちえ	mʲ BG i AJ t AH ɕ BC i AJ e̞ AJ
みちお	mʲ BG i AJ t AH ɕ BC i AJ o̞ AM
みちがえる	mʲ BG i AJ t AH ɕ BC i AJ ɡ AC a̠ AJ e̞ AJ ɾ BB ɯ̟ᵝ
みちくさをくう	mʲ BG i AJ t AH ɕ BC i AJ k AC ɯ̟ᵝ s AG a̠ AJ o̞ AM k AC ɯ̟ᵝː
みちすじ	mʲ BG i AJ t AH ɕ BC i AJ s AG ɨᵝ ʑ BC i AJ
みちたか	mʲ BG i AJ t AH ɕ BC i AJ t AH a̠ AJ k AC a̠ AJ
みちたりる	mʲ BG i AJ t AH ɕ BC i AJ t AH a̠ AJ ɾʲ BI i AJ ɾ BB ɯ̟ᵝ
みちづれ	mʲ BG i AJ t AH ɕ BC i AJ z AG ɨᵝ ɾ BB e̞ AJ
みちのり	mʲ BG i AJ t AH ɕ BC i AJ n AE o̞ AM ɾʲ BI i AJ
みちひき	mʲ BG i AJ t AH ɕ BC i AJ ç i AJ kʲ AC i AJ
みちひさ	mʲ BG i AJ t AH ɕ BC i AJ ç i AJ s AG a̠ AJ
みちびく	mʲ BG i AJ t AH ɕ BC i AJ bʲ BH i AJ k AC ɯ̟ᵝ
みちみちる	mʲ BG i AJ t AH ɕ BC i AJ mʲ BG i AJ t AH ɕ BC i AJ ɾ BB ɯ̟ᵝ
みちゆき	mʲ BG i AJ t AH ɕ BC i AJ j AB ɯ̟ᵝ kʲ AC i AJ
みちる	mʲ BG i AJ t AH ɕ BC i AJ ɾ BB ɯ̟ᵝ
みぢか	mʲ BG i AJ ʑ BC i AJ k AC a̠ AJ
みっか	mʲ BG i AJ k̚ k AC a̠ AJ
みっかん	mʲ BG i AJ k̚ k AC ã̠ ɴ AI
みっきょう	mʲ BG i AJ k̚ʲ kʲ AC o̞ː AL
みっけ	mʲ BG i AJ k̚ k AC e̞ AJ
みっしつ	mʲ BG i AJ ɕː BJ i AJ t AH s AG ɨᵝ
みっせつ	mʲ BG i AJ sː BD e̞ AJ t AH s AG ɨᵝ
みっちゃく	mʲ BG i AJ t̚ t AH ɕ BC a̠ AJ k AC ɯ̟ᵝ
みっつ	mʲ BG i AJ t̚ t AH s AG ɨᵝ
みっつう	mʲ BG i AJ t̚ t AH s AG ɨᵝː
みっともない	mʲ BG i AJ t̚ t AH o̞ AM m AD o̞ AM n AE a̠ AJ i AJ
みつ	mʲ BG i AJ t AH s AG ɨᵝ
みつあみ	mʲ BG i AJ t AH s AG ɨᵝ a̠ AJ mʲ BG i AJ
みつえい	mʲ BG i AJ t AH s AG ɨᵝ e̞ː AK
みつお	mʲ BG i AJ t AH s AG ɨᵝ o̞ AM
みつかる	mʲ BG i AJ t AH s AG ɨ̥ᵝ k AC a̠ AJ ɾ BB ɯ̟ᵝ
みつくりざめ	mʲ BG i AJ t AH s AG ɨ̥ᵝ k AC ɯ̟ᵝ ɾʲ BI i AJ z AG a̠ AJ m AD e̞ AJ
みつぐ	mʲ BG i AJ t AH s AG ɨᵝ ɡ AC ɯ̟ᵝ
みつける	mʲ BG i AJ t AH s AG ɨᵝ k AC e̞ AJ ɾ BB ɯ̟ᵝ
みつげつ	mʲ BG i AJ t AH s AG ɨᵝ ɡ AC e̞ AJ t AH s AG ɨᵝ
みつだそう	mʲ BG i AJ t AH s AG ɨᵝ d AH a̠ AJ s AG o̞ː AL
みつどもえ	mʲ BG i AJ t AH s AG ɨᵝ d AH o̞ AM m AD o̞ AM e̞ AJ
みつのみつ	mʲ BG i AJ t AH s AG ɨᵝ n AE o̞ AM mʲ BG i AJ t AH s AG ɨᵝ
みつばち	mʲ BG i AJ t AH s AG ɨᵝ b AF a̠ AJ t AH ɕ BC i AJ
みつまた	mʲ BG i AJ t AH s AG ɨᵝ m AD a̠ AJ t AH a̠ AJ
みつめる	mʲ BG i AJ t AH s AG ɨᵝ m AD e̞ AJ ɾ BB ɯ̟ᵝ
みつもり	mʲ BG i AJ t AH s AG ɨᵝ m AD o̞ AM ɾʲ BI i AJ
みつもる	mʲ BG i AJ t AH s AG ɨᵝ m AD o̞ AM ɾ BB ɯ̟ᵝ
みつやく	mʲ BG i AJ t AH s AG ɨᵝ j AB a̠ AJ k AC ɯ̟ᵝ
みつゆ	mʲ BG i AJ t AH s AG ɨᵝ j AB ɯ̟ᵝ
みつりん	mʲ BG i AJ t AH s AG ɨᵝ ɾʲ BI ĩ ɴ AI
みてい	mʲ BG i AJ t AH e̞ː AK
みと	mʲ BG i AJ t AH o̞ AM
みとおす	mʲ BG i AJ t AH o̞ː AL s AG ɨᵝ
みとどける	mʲ BG i AJ t AH o̞ AM d AH o̞ AM k AC e̞ AJ ɾ BB ɯ̟ᵝ
みとめる	mʲ BG i AJ t AH o̞ AM m AD e̞ AJ ɾ BB ɯ̟ᵝ
みとる	mʲ BG i AJ t AH o̞ AM ɾ BB ɯ̟ᵝ
みどり	mʲ BG i AJ d AH o̞ AM ɾʲ BI i AJ
みどりのまどぐち	mʲ BG i AJ d AH o̞ AM ɾʲ BI i AJ n AE o̞ AM m AD a̠ AJ d AH o̞ AM ɡ AC ɯ̟ᵝ t AH ɕ BC i AJ
みな	mʲ BG i AJ n AE a̠ AJ
みなおす	mʲ BG i AJ n AE a̠ AJ o̞ AM s AG ɨᵝ
みなぎる	mʲ BG i AJ n AE a̠ AJ ɡʲ AC i AJ ɾ BB ɯ̟ᵝ
みなげ	mʲ BG i AJ n AE a̠ AJ ɡ AC e̞ AJ
みなごろし	mʲ BG i AJ n AE a̠ AJ ɡ AC o̞ AM ɾ BB o̞ AM ɕ BC i AJ
みなさま	mʲ BG i AJ n AE a̠ AJ s AG a̠ AJ m AD a̠ AJ
みなさん	mʲ BG i AJ n AE a̠ AJ s AG ã̠ ɴ AI
みなす	mʲ BG i AJ n AE a̠ AJ s AG ɨᵝ
みなづき	mʲ BG i AJ n AE a̠ AJ z AG ɨᵝ kʲ AC i AJ
みなと	mʲ BG i AJ n AE a̠ AJ t AH o̞ AM
みなみ	mʲ BG i AJ n AE a̠ AJ mʲ BG i AJ
みなみかいきせん	mʲ BG i AJ n AE a̠ AJ mʲ BG i AJ k AC a̠ AJ i AJ kʲ AC i̥ AJ s AG ẽ̞ ɴ AI
みなみじゅうじざ	mʲ BG i AJ n AE a̠ AJ mʲ BG i AJ ʑ BC ɨᵝː ʑ BC i AJ z AG a̠ AJ
みなみはんきゅう	mʲ BG i AJ n AE a̠ AJ mʲ BG i AJ h AA ã̠ ŋʲ AI kʲ AC ɨᵝː
みなもと	mʲ BG i AJ n AE a̠ AJ m AD o̞ AM t AH o̞ AM
みならう	mʲ BG i AJ n AE a̠ AJ ɾ BB a̠ AJ ɯ̟ᵝ
みなり	mʲ BG i AJ n AE a̠ AJ ɾʲ BI i AJ
みなれる	mʲ BG i AJ n AE a̠ AJ ɾ BB e̞ AJ ɾ BB ɯ̟ᵝ
みにくい	mʲ BG i AJ ɲ̟ BF i AJ k AC ɯ̟ᵝ i AJ
みにつける	mʲ BG i AJ ɲ̟ BF i AJ t AH s AG ɨᵝ k AC e̞ AJ ɾ BB ɯ̟ᵝ
みの	mʲ BG i AJ n AE o̞ AM
みのお	mʲ BG i AJ n AE o̞ː AL
みのがす	mʲ BG i AJ n AE o̞ AM ɡ AC a̠ AJ s AG ɨᵝ
みのがみ	mʲ BG i AJ n AE o̞ AM ɡ AC a̠ AJ mʲ BG i AJ
みのほど	mʲ BG i AJ n AE o̞ AM h AA o̞ AM d AH o̞ AM
みのまわり	mʲ BG i AJ n AE o̞ AM m AD a̠ AJ ɰᵝ a̠ AJ ɾʲ BI i AJ
みのむし	mʲ BG i AJ n AE o̞ AM m AD ɯ̟ᵝ ɕ BC i AJ
みのり	mʲ BG i AJ n AE o̞ AM ɾʲ BI i AJ
みのる	mʲ BG i AJ n AE o̞ AM ɾ BB ɯ̟ᵝ
みはる	mʲ BG i AJ h AA a̠ AJ ɾ BB ɯ̟ᵝ
みばえ	mʲ BG i AJ b AF a̠ AJ e̞ AJ
みひらき	mʲ BG i AJ ç i AJ ɾ BB a̠ AJ kʲ AC i AJ
みぶん	mʲ BG i AJ b AF ɯ̟̃ᵝ ɴ AI
みぶんしょうめいしょ	mʲ BG i AJ b AF ɯ̟̃ᵝ ɰ̃ AB ɕ BC o̞ː AL m AD e̞ː AK ɕ BC o̞ AM
みぶんそうおう	mʲ BG i AJ b AF ɯ̟̃ᵝ ɰ̃ AB s AG o̞ː AL o̞ː AL
みまい	mʲ BG i AJ m AD a̠ AJ i AJ
みまいきん	mʲ BG i AJ m AD a̠ AJ i AJ kʲ AC ĩ ɴ AI
みまう	mʲ BG i AJ m AD a̠ AJ ɯ̟ᵝ
みまちがえる	mʲ BG i AJ m AD a̠ AJ t AH ɕ BC i AJ ɡ AC a̠ AJ e̞ AJ ɾ BB ɯ̟ᵝ
みまもる	mʲ BG i AJ m AD a̠ AJ m AD o̞ AM ɾ BB ɯ̟ᵝ
みまわす	mʲ BG i AJ m AD a̠ AJ ɰᵝ a̠ AJ s AG ɨᵝ
みまん	mʲ BG i AJ m AD ã̠ ɴ AI
みみ	mʲ BG i AJ mʲ BG i AJ
みみあて	mʲ BG i AJ mʲ BG i AJ a̠ AJ t AH e̞ AJ
みみうち	mʲ BG i AJ mʲ BG i AJ ɯ̟ᵝ t AH ɕ BC i AJ
みみかざり	mʲ BG i AJ mʲ BG i AJ k AC a̠ AJ z AG a̠ AJ ɾʲ BI i AJ
みみざわり	mʲ BG i AJ mʲ BG i AJ z AG a̠ AJ ɰᵝ a̠ AJ ɾʲ BI i AJ
みみず	mʲ BG i AJ mʲ BG i AJ z AG ɨᵝ
みみずく	mʲ BG i AJ mʲ BG i AJ z AG ɨᵝ k AC ɯ̟ᵝ
みみずとかげ	mʲ BG i AJ mʲ BG i AJ z AG ɨᵝ t AH o̞ AM k AC a̠ AJ ɡ AC e̞ AJ
みみだれ	mʲ BG i AJ mʲ BG i AJ d AH a̠ AJ ɾ BB e̞ AJ
みみなり	mʲ BG i AJ mʲ BG i AJ n AE a̠ AJ ɾʲ BI i AJ
みみにする	mʲ BG i AJ mʲ BG i AJ ɲ̟ BF i AJ s AG ɨᵝ ɾ BB ɯ̟ᵝ
みみにのこる	mʲ BG i AJ mʲ BG i AJ ɲ̟ BF i AJ n AE o̞ AM k AC o̞ AM ɾ BB ɯ̟ᵝ
みゃ	mʲ BG a̠ AJ
みゃく	mʲ BG a̠ AJ k AC ɯ̟ᵝ
みゃくうつ	mʲ BG a̠ AJ k AC ɯ̟ᵝː t AH s AG ɨᵝ
みゃくせき	mʲ BG a̠ AJ k AC ɯ̟ᵝ s AG e̞ AJ kʲ AC i AJ
みゃくはく	mʲ BG a̠ AJ k AC ɯ̟ᵝ h AA a̠ AJ k AC ɯ̟ᵝ
みゃくらく	mʲ BG a̠ AJ k AC ɯ̟ᵝ ɾ BB a̠ AJ k AC ɯ̟ᵝ
みや	mʲ BG i AJ j AB a̠ AJ
みやかわ	mʲ BG i AJ j AB a̠ AJ k AC a̠ AJ ɰᵝ a̠ AJ
みやぎ	mʲ BG i AJ j AB a̠ AJ ɡʲ AC i AJ
みやぎけん	mʲ BG i AJ j AB a̠ AJ ɡʲ AC i AJ k AC ẽ̞ ɴ AI
みやげ	mʲ BG i AJ j AB a̠ AJ ɡ AC e̞ AJ
みやこ	mʲ BG i AJ j AB a̠ AJ k AC o̞ AM
みやこおち	mʲ BG i AJ j AB a̠ AJ k AC o̞ AM o̞ AM t AH ɕ BC i AJ
みやこじま	mʲ BG i AJ j AB a̠ AJ k AC o̞ AM ʑ BC i AJ m AD a̠ AJ
みやこのじょう	mʲ BG i AJ j AB a̠ AJ k AC o̞ AM n AE o̞ AM ʑ BC o̞ː AL
みやざき	mʲ BG i AJ j AB a̠ AJ z AG a̠ AJ kʲ AC i AJ
みやざきけん	mʲ BG i AJ j AB a̠ AJ z AG a̠ AJ kʲ AC i AJ k AC ẽ̞ ɴ AI
みやつこぎ	mʲ BG i AJ j AB a̠ AJ t AH s AG ɨᵝ k AC o̞ AM ɡʲ AC i AJ
みやの	mʲ BG i AJ j AB a̠ AJ n AE o̞ AM
みやびやか	mʲ BG i AJ j AB a̠ AJ bʲ BH i AJ j AB a̠ AJ k AC a̠ AJ
みやぶ	mʲ BG i AJ j AB a̠ AJ b AF ɯ̟ᵝ
みやぶる	mʲ BG i AJ j AB a̠ AJ b AF ɯ̟ᵝ ɾ BB ɯ̟ᵝ
みゅ	mʲ BG ɨᵝ
みょ	mʲ BG o̞ AM
みょうおう	mʲ BG o̞ː AL o̞ː AL
みょうか	mʲ BG o̞ː AL k AC a̠ AJ
みょうが	mʲ BG o̞ː AL ɡ AC a̠ AJ
みょうじ	mʲ BG o̞ː AL ʑ BC i AJ
みょうじょう	mʲ BG o̞ː AL ʑ BC o̞ː AL
みょうせき	mʲ BG o̞ː AL s AG e̞ AJ kʲ AC i AJ
みょうばん	mʲ BG o̞ː AL b AF ã̠ ɴ AI
みょうやく	mʲ BG o̞ː AL j AB a̠ AJ k AC ɯ̟ᵝ
みよ	mʲ BG i AJ j AB o̞ AM
みよし	mʲ BG i AJ j AB o̞ AM ɕ BC i AJ
みらい	mʲ BG i AJ ɾ BB a̠ AJ i AJ
みらいがく	mʲ BG i AJ ɾ BB a̠ AJ i AJ ɡ AC a̠ AJ k AC ɯ̟ᵝ
みらいじせい	mʲ BG i AJ ɾ BB a̠ AJ i AJ d AH ʑ BC i AJ s AG e̞ː AK
みらいじん	mʲ BG i AJ ɾ BB a̠ AJ i AJ ʑ BC ĩ ɴ AI
みらいは	mʲ BG i AJ ɾ BB a̠ AJ i AJ h AA a̠ AJ
みりょう	mʲ BG i AJ ɾʲ BI o̞ː AL
みりょく	mʲ BG i AJ ɾʲ BI o̞ AM k AC ɯ̟ᵝ
みりょくてき	mʲ BG i AJ ɾʲ BI o̞ AM k AC ɯ̟ᵝ t AH e̞ AJ kʲ AC i AJ
みりん	mʲ BG i AJ ɾʲ BI ĩ ɴ AI
みる	mʲ BG i AJ ɾ BB ɯ̟ᵝ
みるせん	mʲ BG i AJ ɾ BB ɯ̟ᵝ s AG ẽ̞ ɴ AI
みれん	mʲ BG i AJ ɾ BB ẽ̞ ɴ AI
みれんがましい	mʲ BG i AJ ɾ BB ẽ̞ ŋ AI ɡ AC a̠ AJ m AD a̠ AJ ɕ BC iː AK
みろ	mʲ BG i AJ ɾ BB o̞ AM
みろく	mʲ BG i AJ ɾ BB o̞ AM k AC ɯ̟ᵝ
みろくぼさつ	mʲ BG i AJ ɾ BB o̞ AM k AC ɯ̟ᵝ b AF o̞ AM s AG a̠ AJ t AH s AG ɨᵝ
みわ	mʲ BG i AJ ɰᵝ a̠ AJ
みわく	mʲ BG i AJ ɰᵝ a̠ AJ k AC ɯ̟ᵝ
みわけ	mʲ BG i AJ ɰᵝ a̠ AJ k AC e̞ AJ
みわける	mʲ BG i AJ ɰᵝ a̠ AJ k AC e̞ AJ ɾ BB ɯ̟ᵝ
みわこ	mʲ BG i AJ ɰᵝ a̠ AJ k AC o̞ AM
みわたす	mʲ BG i AJ ɰᵝ a̠ AJ t AH a̠ AJ s AG ɨᵝ
みわたすかぎり	mʲ BG i AJ ɰᵝ a̠ AJ t AH a̠ AJ s AG ɨᵝ k AC a̠ AJ ɡʲ AC i AJ ɾʲ BI i AJ
みをうる	mʲ BG i AJ o̞ AM ɯ̟ᵝ ɾ BB ɯ̟ᵝ
みをけずる	mʲ BG i AJ o̞ AM k AC e̞ AJ z AG ɨᵝ ɾ BB ɯ̟ᵝ
みをしるあめ	mʲ BG i AJ o̞ AM ɕ BC i AJ ɾ BB ɯ̟ᵝ a̠ AJ m AD e̞ AJ
みをむすぶ	mʲ BG i AJ o̞ AM m AD ɯ̟ᵝ s AG ɨᵝ b AF ɯ̟ᵝ
みをゆだねる	mʲ BG i AJ o̞ AM j AB ɯ̟ᵝ d AH a̠ AJ n AE e̞ AJ ɾ BB ɯ̟ᵝ
みん	mʲ BG ĩ ɴ AI
みんえいか	mʲ BG ĩ ɰ̃ AB e̞ː AK k AC a̠ AJ
みんかんほうそう	mʲ BG ĩ ŋ AI k AC ã̠ ɰ̃ AB h AA o̞ː AL s AG o̞ː AL
みんけん	mʲ BG ĩ ŋ AI k AC ẽ̞ ɴ AI
みんこく	mʲ BG ĩ ŋ AI k AC o̞ AM k AC ɯ̟ᵝ
みんしゅか	mʲ BG ĩ ɰ̃ AB ɕ BC ɨᵝ k AC a̠ AJ
みんしゅく	mʲ BG ĩ ɰ̃ AB ɕ BC ɨᵝ k AC ɯ̟ᵝ
みんしゅしゅぎ	mʲ BG ĩ ɰ̃ AB ɕ BC ɨᵝ ɕ BC ɨᵝ ɡʲ AC i AJ
みんしゅしゅぎしゃ	mʲ BG ĩ ɰ̃ AB ɕ BC ɨᵝ ɕ BC ɨᵝ ɡʲ AC i AJ ɕ BC a̠ AJ
みんしゅとういん	mʲ BG ĩ ɰ̃ AB ɕ BC ɨᵝ t AH o̞ː AL ĩ ɴ AI
みんしんとう	mʲ BG ĩ ɰ̃ AB ɕ BC ĩ n AE t AH o̞ː AL
みんせい	mʲ BG ĩ ɰ̃ AB s AG e̞ː AK
みんぞく	mʲ BG ĩ n AE d AH z AG o̞ AM k AC ɯ̟ᵝ
みんぞくがく	mʲ BG ĩ n AE d AH z AG o̞ AM k AC ɯ̟ᵝ ɡ AC a̠ AJ k AC ɯ̟ᵝ
みんぞくし	mʲ BG ĩ n AE d AH z AG o̞ AM k AC ɯ̟ᵝ ɕ BC i AJ
みんぞくしゅぎ	mʲ BG ĩ n AE d AH z AG o̞ AM k AC ɯ̟ᵝ ɕ BC ɨᵝ ɡʲ AC i AJ
みんちょうたい	mʲ BG ĩ ɲ̟ BF t AH ɕ BC o̞ː AL t AH a̠ AJ i AJ
みんな	mʲ BG ĩ nː BA a̠ AJ
みんぱく	mʲ BG ĩ m AD p AF a̠ AJ k AC ɯ̟ᵝ
みんぺい	mʲ BG ĩ m AD p AF e̞ː AK
みんぽう	mʲ BG ĩ m AD p AF o̞ː AL
みんよう	mʲ BG ĩ ɰ̃ AB j AB o̞ː AL
みんわ	mʲ BG ĩ ɰ̃ AB ɰᵝ a̠ AJ
む	ɾ BB o̞ AM k AC ɯ̟ᵝ
むぁ	m AD ɰᵝ a̠ AJ
むいか	m AD ɯ̟ᵝ i AJ k AC a̠ AJ
むいしき	m AD ɯ̟ᵝ i AJ ɕ BC i̥ AJ kʲ AC i AJ
むいしきてき	m AD ɯ̟ᵝ i AJ ɕ BC i AJ kʲ AC i AJ t AH e̞ AJ kʲ AC i AJ
むいちもん	m AD ɯ̟ᵝ i AJ t AH ɕ BC i AJ m AD õ̞ ɴ AI
むいみ	m AD ɯ̟ᵝ i AJ mʲ BG i AJ
むおん	m AD ɯ̟ᵝ õ̞ ɴ AI
むかい	m AD ɯ̟ᵝ k AC a̠ AJ i AJ
むかいあわせる	m AD ɯ̟ᵝ k AC a̠ AJ i AJ a̠ AJ ɰᵝ a̠ AJ s AG e̞ AJ ɾ BB ɯ̟ᵝ
むかう	m AD ɯ̟ᵝ k AC a̠ AJ ɯ̟ᵝ
むかえ	m AD ɯ̟ᵝ k AC a̠ AJ e̞ AJ
むかえうつ	m AD ɯ̟ᵝ k AC a̠ AJ e̞ AJ ɯ̟ᵝ t AH s AG ɨᵝ
むかえる	m AD ɯ̟ᵝ k AC a̠ AJ e̞ AJ ɾ BB ɯ̟ᵝ
むかし	m AD ɯ̟ᵝ k AC a̠ AJ ɕ BC i AJ
むかしっから	m AD ɯ̟ᵝ k AC a̠ AJ ɕ BC i AJ k̚ k AC a̠ AJ ɾ BB a̠ AJ
むかしばなし	m AD ɯ̟ᵝ k AC a̠ AJ ɕ BC i AJ b AF a̠ AJ n AE a̠ AJ ɕ BC i AJ
むかしむかし	m AD ɯ̟ᵝ k AC a̠ AJ ɕ BC i AJ m AD ɯ̟ᵝ k AC a̠ AJ ɕ BC i AJ
むかつく	m AD ɯ̟ᵝ k AC a̠ AJ t AH s AG ɨ̥ᵝ k AC ɯ̟ᵝ
むかで	m AD ɯ̟ᵝ k AC a̠ AJ d AH e̞ AJ
むかんしん	m AD ɯ̟ᵝ k AC ã̠ ɰ̃ AB ɕ BC ĩ ɴ AI
むかんどう	m AD ɯ̟ᵝ k AC ã̠ n AE d AH o̞ː AL
むが	m AD ɯ̟ᵝ ɡ AC a̠ AJ
むがい	m AD ɯ̟ᵝ ɡ AC a̠ AJ i AJ
むがむちゅう	m AD ɯ̟ᵝ ɡ AC a̠ AJ m AD ɯ̟ᵝ t AH ɕ BC ɨᵝː
むき	m AD ɯ̟ᵝ kʲ AC i AJ
むきかごうぶつ	m AD ɯ̟̊ᵝ kʲ AC i AJ k AC a̠ AJ ɡ AC o̞ː AL b AF ɯ̟ᵝ t AH s AG ɨᵝ
むききんこ	m AD ɯ̟ᵝ kʲ AC i AJ kʲ AC ĩ ŋ AI k AC o̞ AM
むきじょうでんしゃ	m AD ɯ̟ᵝ kʲ AC i AJ ʑ BC o̞ː AL d AH ẽ̞ ɰ̃ AB ɕ BC a̠ AJ
むきず	m AD ɯ̟ᵝ kʲ AC i AJ z AG ɨᵝ
